Name,Cuisine/Type,Price,What I Ordered,Distance,Rating (out of 5),Review,Latitude,Longitude,Website
Holy Grain Bakery,Sandwich,£6.50,"The Meat one (Cured meat, cheese, saurkarut)",Close/Moderate (Near the Odeon),3,"An anonymous tip came in for this place and so we fast tracked this spot for a place to try and hearing the raving reviews. Sadly, for a fella such as myself who had experienced Biscous Biscous (RIP) this place couldn’t live up to that standard, despite being more pricey. My main issue with the meat sandwich itself was a lack of oomfpt, if we had a bit of mustard in there I think id be rating this place higher, but as it is, we have a above average sandwich with nothing to really write home about.",53.4851,-2.241,https://thegreatnorthern.com/unit/holy-grain/
Shirleys,Sandwich,£5,Cant remember,Close,2.5,"Shirley this place is good right? (please laugh at the pun I am begging you) Shirley is a proper builders lunch type of place, cheap prices and healthy portions that really scratches that itch when you are feeling a bit more gluttonous during the day. You wont be on the rooftops singing the praises of the deliciousness of shirley's, but you might be sat on your chair rubbing a rounder belly afterwords.",53.4799,-2.244,
Soup Co,Hotpot/Noodle Soup thing,£19 (price depends on weight and I messed up for sure),"Spicy Noodle Soup with cuttlefish, baby octopus, fish roe balls, lobster balls and assortment of veg",Moderate (Road going to Pic Gardens from St Peters),2.5,"This is one of those places where you say to yourself ""next time I go I know what to do"" kinda places since you pick out what you want and place it in a bowl and pay by weight. And once you realised you have put too much of one thing in, you cant really be putting things back which is not the best feeling. For the price, I did get a lot of food, but it was spenny for sure. It felt like an infeiror hotpot since you completely remove the whole communial aspect from it, and since you arnt the one putting the items in the soup itself the soup flavour doesnt develop over time like it does in a hotpot soup.",53.48055,-2.238,
Topkapi,Turkish,£7,Mixed Shwarma Wrap,Close,2,"It does the job, Can't really complain - Service was quick aswell. However, due to the existance of another Gyros/Wrap Equivalent on the list, this brings the score on this down despite it being cheaper.",53.4792,-2.2455,https://www.topkapipalace.co.uk/
Rolawala,Indian Fusion?,£9.50,Lamb Naan Roll,Close,2,"Unsure if this place is still open. Food was alright, abit more on the spenny side for how much you get, and the biggest issue I had (which was more of a wrap issue) was how liquididy the food was and was leaking everwhere and leaving stains.",53.4793,-2.2486,https://rolawala.com/manchester/
HOP,Vietnamese,£13.40,"Chicken Satay Rice Box, Veg Dumplings",Moderate,2,"I cannot say I recommend the chicken satay rice box from HOP, nothing really stood out to me for this one. I have been told that the satay is not their best rice box and I should have tried a different one, which if I get around to it I'll ammend this rating. Overall this one is fairly forgettable, except that I do remember not enjoying the rice that much from here.",53.4781,-2.246,https://www.hopvietnamese.com/
This n That,Indian,£7.00,"Rice + 2 Meat, 1 Veg (Chiken Tikka, Lamb Karahi, Daal)",Far Far (Northen Quarter),2,"I think this will be by far the most controversial rating on the list. This n That is highly rated as being one of the best places for curry and rice in the whole of manchester with its flavour and really cheap price. My rating is not fair to the restaurant as my biggest issue I have with this place is that after every bite I think ""I rather have my mum's curry"". I never really go to curry houses, and when I do, I don't rate them highly mostly due to the fact that I rather eat my mums homemade curries. So please do disregard my rating on this one, unless you have a similar situation to me, which then you probably werent gonna try here anyway.",53.4843,-2.2328,https://www.thisandthatcafe.co.uk/
Lets Sushi,Ramen,£12,Ramen,Moderate (Road going to Pic Gardens from St Peters),2,"I wont lie that I do have a bit of blind spot when it comes to the ramen inside of manchester, however using the Shouryu coeffiecent in this rating does bring this place down a fair bit. The soup base while initally hitting that ramen itch I was craving, it did feel a little bit flat in terms of depth comapred to the broth in shoryu which is sadly why I have to give this place a rating of 2. It did have CPOP playing in the resturaunt though which was cool since you don't hear that too often.",53.4806,-2.2384,https://www.letussushi.co.uk/
Katsouris,Sandwich,£7.20,Half Steak Sandwich,Close,1.5,"Disclamier - This was one of the first places I tried when I went to this office which is over 7 months ago, so my memories are a bit hazy on this one. I do remember vivdly enjoying this sandwich, but kept on thinking about the price I paid for HALF of a sandwich while eating it. Sadly I cannot reccomend this place on price alone, unless you are okay with spending a hefty premium and are looking to eat a small lunch",53.482,-2.2452,https://katsourisdeli.com/
Pizza Pilgrim,Pizza,Free (One Slice for Opening),Margherita,Very Close,1.5,"DISCLAIMER - THIS WAS A FREE SLICE OF PIZZA AND THEY WERE GIVING OUT 1000 FREE SLICES. So given that this rating may not be representative of the actual place when they are not trying to cook 1000 slices to give out, however I can only rate based on what I had ate. Sadly, the free slice had many issues, first being how it was cooked. Could tell that it was placed in an oven too hot for too short of a period of time as you had a charred crust and uncooked flour on the bottom. The tomato sauce they used was also lacking, it tasted one dimentional and needed something like basil to really elevate it. Yet again this rating may not be 100% accurate considering the circumstances.",53.483,-2.244,https://www.pizzapilgrims.co.uk/pizzerias/manchester/
HoniPoke,Poke Bowl,£14.95,Honi Poke Bowl + Extra Tuna,Close,1.5,"The big RC warned me about this place as I quote ""its mid as hell"" whatever that means, im not up with the slang. Anyway he wasn't wrong this place was infact ""mid fr fr"". I can't say I was impressed by the rice, the chilli oil or even the slices of raw fish that was there. And with a fairly small portion size for the price its not great on that front either. It seems like its one of those places for the super health concious for those who are into that and not really anyone else.",53.481,-2.247,https://www.honipoke.com/
Middle Point (?),Kebab,£9.50,Kobeda Wrap,Far (Arndale Food Market),1,"Ever have a meal where after the first two bites you are thinking I wish I could eat somewhere else? I genuinely was thinking is it possible to go to wimslow road/curry mile during work hours while eating this. I don’t have kobeda often and when I do its always a top tier one, so having a poor tasting one in a wrap, not even a naan wrap just felt really bad. Maybe im being too harsh on them with my comparisions, however the feeling was so strong agaisnt it, its hard for me to ignore these facts. ",53.4835,-2.2404,
Ohannes Burger,Burger Meal,£15,"Burger, Chips, Tenders, Halluomi Fries",Moderate (Salfordishy),3,"In a post Street Guys/Star/whatever they are called now world, burger places will always have to compete with them. I wont lie I did enjoy the meal here even if it wasn’t mind blowing and was considering giving it a 3.5. However looking at how a street star meal was £8, it really felt like 3.5 would be too high for this place. Comparison is the thief of joy, and street star might need to be locked up for 3 accounts of robbery for its lasting damage to the burger meal world of Manchester.",53.486,-2.257,https://www.ohannesburger.co.uk/
